0.005 1 0 1
0.015 1 0 1
0.025 1 0 1
0.035 1 0 1
0.045 1 0 1
0.055 1 0 1
0.065 1 0 1
0.075 1 0 1
0.085 1 0 1
0.095 1 0 1
0.105 1 0 1
0.115 1 0 1
0.125 1 0 1
0.135 1 0 1
0.145 1 0 1
0.155 1 0 1
0.165 1 0 1
0.175 1 0 1
0.185 1 0 1
0.195 1 0 1
0.205 1 0 1
0.215 1 0 1
0.225 1 0 1
0.235 1 0 1
0.245 1 0 1
0.255 1 0 1
0.265 1 0 1
0.275 1 0 1
0.285 1 0 1
0.295 1 0 1
0.305 1 0 1
0.315 1 1.83971e-16 1
0.325 1 9.12503e-15 1
0.335 1 3.27772e-13 1
0.345 1 1.00992e-11 1
0.355 1 2.68929e-10 1
0.365 1 6.13768e-09 1
0.375 1 1.18749e-07 1
0.385 0.999999 1.92127e-06 0.999999
0.395 0.999986 2.55379e-05 0.999983
0.405001 0.999834 0.000271776 0.999801
0.415009 0.998525 0.00220625 0.99823
0.425063 0.990721 0.0124365 0.988884
0.4353 0.963367 0.0449047 0.956275
0.44599 0.909238 0.108974 0.892362
0.457463 0.836945 0.200812 0.808287
0.470056 0.755434 0.313778 0.715391
0.48414 0.669749 0.444884 0.620133
0.500172 0.583642 0.591819 0.527221
0.518723 0.500796 0.749236 0.441088
0.540463 0.425311 0.902043 0.367628
0.565426 0.378613 0.999469 0.318553
0.581082 0.255075 1.02553 0.321016
0.585495 0.318456 1.03128 0.322502
0.589389 0.323547 1.03394 0.322287
0.593237 0.326125 1.03702 0.325268
0.597087 0.323252 1.04089 0.322431
0.600932 0.326968 1.03952 0.327574
0.604793 0.320556 1.042 0.320509
0.608666 0.325067 1.02472 0.326504
0.612882 0.272473 0.879007 0.264291
0.618402 0.193748 0.566424 0.173278
0.625923 0.145522 0.230407 0.120724
0.635113 0.127665 0.0426652 0.102591
0.645005 0.125108 0.00212473 0.100104
0.655 0.125003 5.17254e-05 0.100002
0.665 0.125 1.21273e-06 0.1
0.675 0.125 2.85583e-08 0.1
0.685 0.125 6.59225e-10 0.1
0.695 0.125 1.45429e-11 0.1
0.705 0.125 3.00525e-13 0.1
0.715 0.125 5.79805e-15 0.1
0.725 0.125 1.09395e-16 0.1
0.735 0.125 0 0.1
0.745 0.125 0 0.1
0.755 0.125 0 0.1
0.765 0.125 0 0.1
0.775 0.125 0 0.1
0.785 0.125 0 0.1
0.795 0.125 0 0.1
0.805 0.125 0 0.1
0.815 0.125 0 0.1
0.825 0.125 0 0.1
0.835 0.125 0 0.1
0.845 0.125 0 0.1
0.855 0.125 0 0.1
0.865 0.125 0 0.1
0.875 0.125 0 0.1
0.885 0.125 0 0.1
0.895 0.125 0 0.1
0.905 0.125 0 0.1
0.915 0.125 0 0.1
0.925 0.125 0 0.1
0.935 0.125 0 0.1
0.945 0.125 0 0.1
0.955 0.125 0 0.1
0.965 0.125 0 0.1
0.975 0.125 0 0.1
0.985 0.125 0 0.1
0.995 0.125 0 0.1
